,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Butter,BTS,235409,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
2,Permission to Dance,BTS,226422,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
3,"きらめE""Fujii Kaze""",223838,https://open.spotify.com/track/3ciqhcLmXP4hVGBD98QlEj,
4,ドライフラワー,優釁E222548,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J,
5,Cry Baby,Official HIGE DANdism,216250,https://open.spotify.com/track/6wDntdm888mDo458RaYjGl
6,"水平緁E""back number""",211876,https://open.spotify.com/track/5m1i6hq7dmRlp3c1utE48L,
7,Dynamite,BTS,205186,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
8,STAY (with Justin Bieber),The Kid LAROI,193017,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
9,夜に駁E��めEYOASOBI,183414,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB,
10,怪物,YOASOBI,173925,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi
11,群靁EYOASOBI,169402,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk,
12,ヨワネハキ,MAISONdes,167503,https://open.spotify.com/track/0FOVGBW0RpVRuDuUuN4ZVw
13,"勿忁E""Awesome City Club""",165985,https://open.spotify.com/track/0XZyF9lv6diMt4bxThOL0h,
14,踁EAdo,156535,https://open.spotify.com/track/7z6qHGEKxRtwtYym2epV7l,
15,三原色,YOASOBI,151798,https://open.spotify.com/track/3FUCuf498nFHJXFYR1V9Bd
16,シャチE��ー,優釁E150736,https://open.spotify.com/track/6VwpOZpqx8IqoF201VGAp8,
17,CITRUS,Da-iCE,147308,https://open.spotify.com/track/2IL2asrtx7XM1y8fu2RMnR
18,アポトーシス,Official HIGE DANdism,146674,https://open.spotify.com/track/222BlW44cS9nOM6C369IB2
19,ラブレター,YOASOBI,140245,https://open.spotify.com/track/185Wm4Mx09dQG0fUktklDm
20,花占ぁEVaundy,135793,https://open.spotify.com/track/4X34YVOtNvldHeEt6aLYDW,
22,もう少しだぁEYOASOBI,125698,https://open.spotify.com/track/2pXmohBUnD5Li93sgpbPSg,
23,U,millennium parade,124807,https://open.spotify.com/track/32H7fwKsaYtSl6qiXFI6I6
24,Bluma to Lunch,BLOOM VASE,123457,https://open.spotify.com/track/3EYWY7XBj1BkCKX3R3hoZk
25,Pretender,Official HIGE DANdism,117327,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU
26,魔法�E絨毯,Takaya Kawasaki,116042,https://open.spotify.com/track/3PK5ERLCyMuQ5Cb89GbZVL
27,115丁E��ロのフィルム,Official HIGE DANdism,115034,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
28,ぁE��せぇめEAdo,114746,https://open.spotify.com/track/6EzZn96uOc9JsVGNRpx06n,
